code,name,settype,role,meter,phase,vcb,op,cap,expand_ref
16174,段積セット 母線連絡 普通 VCB12.5KA 電動引出,段積,母線連絡,普通,,12.5KA,電動引出,,71091x1;71056x1;71021x1;73220x3;73000x12;43014x1
16274,段積セット 母線連絡 マルチ VCB12.5KA 電動引出,段積,母線連絡,マルチ,,12.5KA,電動引出,,71091x1;71056x1;71021x1;73220x3;73000x12;43014x1
16084,段積セット 母線連絡+一段積 広角 VCB12.5KA 電動引出,段積,母線連絡+一段積,広角,,12.5KA,電動引出,,71091x2;71056x2;71021x2;73220x4;73000x18;43014x2;42012x1;71002x1;46000x1;44130x1;44104?x2
16184,段積セット 母線連絡+一段積 普通 VCB12.5KA 電動引出,段積,母線連絡+一段積,普通,,12.5KA,電動引出,,71091x2;71056x2;71021x2;73220x4;73000x18;43014x2;42010x1;71002x1;46000x1;44130x1;44104?x2
16284,段積セット 母線連絡+一段積 マルチ VCB12.5KA 電動引出,段積,母線連絡+一段積,マルチ,,12.5KA,電動引出,,71091x2;71056x2;71021x2;73220x4;73000x18;43014x2;42082x1;46000x1;44130x1;44104?x2
16025,段積セット 二段積 VCS 電磁,段積VCS,二段積,,,,電磁,,71091x2;71056x2;71021x2;73220x2;73000x8;43101x2
16026,段積セット 二段積 VCS 電磁引出PF,段積VCS,二段積,,,,電磁引出PF,,71091x2;71056x2;71021x2;73220x2;73000x8;43103x2
16035,段積セット 二段積(1SP) VCS 電磁,段積VCS,二段積(1SP),,,,電磁,,71091x1;71056x1;71021x1;73220x1;73000x4;43101x1
16036,段積セット 二段積(1SP) VCS 電磁引出PF,段積VCS,二段積(1SP),,,,電磁引出PF,,71091x1;71056x1;71021x1;73220x1;73000x4;43103x1
16046,段積セット 三段積 VCS 電磁引出PF,段積VCS,三段積,,,,電磁引出PF,,71091x3;71056x3;71021x3;73220x3;73000x12;43103x3
16056,段積セット 三段積(1SP) VCS 電磁引出PF,段積VCS,三段積(1SP),,,,電磁引出PF,,71091x2;71056x2;71021x2;73220x2;73000x8;43103x2
16065,段積セット 一段積 VCS 電磁,段積VCS,一段積,,,,電磁,,71091x1;71056x1;71021x1;73220x1;73000x4;43101x1
16066,段積セット 一段積 VCS 電磁引出PF,段積VCS,一段積,,,,電磁引出PF,,71091x1;71056x1;71021x1;73220x1;73000x4;43103x1
