code,name,settype,role,meter,phase,vcb,op,cap,expand_ref
11332,高圧セット 受電盤 広角 8KA 電動,高圧,受電盤,広角,,8KA,電動,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;43003x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11341,高圧セット 受電盤 広角 12.5KA 手動,高圧,受電盤,広角,,12.5KA,手動,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;43011x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11342,高圧セット 受電盤 広角 12.5KA 電動,高圧,受電盤,広角,,12.5KA,電動,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;43013x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11371,高圧セット 饋電盤 広角 8KA 手動,高圧,饋電盤,広角,,8KA,手動,,71091x1;43424x1;42012x1;71002x1;71056x1;43001x1;46001x1;44130x1;44104?x2
11372,高圧セット 饋電盤 広角 8KA 電動,高圧,饋電盤,広角,,8KA,電動,,71091x1;43424x1;42012x1;71002x1;71056x1;43003x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11381,高圧セット 饋電盤 広角 12.5KA 手動,高圧,饋電盤,広角,,12.5KA,手動,,71091x1;43424x1;42012x1;71002x1;71056x1;43011x1;46001x1;44130x1;44104?x2
11382,高圧セット 饋電盤 広角 12.5KA 電動,高圧,饋電盤,広角,,12.5KA,電動,,71091x1;43424x1;42012x1;71002x1;71056x1;43013x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11631,高圧セット 受電盤 マルチ 8KA 手動,高圧,受電盤,マルチ,,8KA,手動,,71091x1;43424x1;42082x1;71056x1;43001x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11632,高圧セット 受電盤 マルチ 8KA 電動,高圧,受電盤,マルチ,,8KA,電動,,71091x1;43424x1;42082x1;71056x1;43003x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11641,高圧セット 受電盤 マルチ 12.5KA 手動,高圧,受電盤,マルチ,,12.5KA,手動,,71091x1;43424x1;42082x1;71056x1;43011x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11642,高圧セット 受電盤 マルチ 12.5KA 電動,高圧,受電盤,マルチ,,12.5KA,電動,,71091x1;43424x1;42082x1;71056x1;43013x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11671,高圧セット 饋電盤 マルチ 8KA 手動,高圧,饋電盤,マルチ,,8KA,手動,,71091x1;43424x1;42082x1;71056x1;43001x1;46001x1;44130x1;44104?x2
11672,高圧セット 饋電盤 マルチ 8KA 電動,高圧,饋電盤,マルチ,,8KA,電動,,71091x1;43424x1;42082x1;71056x1;43003x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11681,高圧セット 饋電盤 マルチ 12.5KA 手動,高圧,饋電盤,マルチ,,12.5KA,手動,,71091x1;43424x1;42082x1;71056x1;43011x1;46001x1;44130x1;44104?x2
11682,高圧セット 饋電盤 マルチ 12.5KA 電動,高圧,饋電盤,マルチ,,12.5KA,電動,,71091x1;43424x1;42082x1;71056x1;43013x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11001,高圧LBSセット 普通 受電タイプ,高圧LBS,受電,,,,,,71091x1;43321x1
11002,高圧LBSセット 普通 饋電タイプ,高圧LBS,饋電,,,,,,71091x1;43321x1
11005,高圧LBSセット 広角 受電タイプ,高圧LBS,受電,,,,,,71091x1;43321x1
11006,高圧LBSセット 広角 饋電タイプ,高圧LBS,饋電,,,,,,71091x1;43321x1
11009,高圧LBSセット エネセーバ,高圧LBS,エネセーバ,,,,,,?x1;71021x1;71056x1;73000x2
16013,段積セット 受電盤 広角 VCB8KA 電動引出,段積,受電盤,広角,,8KA,電動引出,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;71021x1;73220x1;73000x6;43004x1;46000x1;44030x1;44130x1;44011?x2;44104?x2
16113,段積セット 受電盤 普通 VCB8KA 電動引出,段積,受電盤,普通,,8KA,電動引出,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;71021x1;73220x1;73000x6;43004x1;46000x1;44030x1;44130x1;44011?x2;44104?x2
16213,段積セット 受電盤 マルチ VCB8KA 電動引出,段積,受電盤,マルチ,,8KA,電動引出,,71091x1;43424x1;42082x1;71056x1;71021x1;73220x1;73000x6;43004x1;46000x1;44030x1;44130x1;44011?x2;44104?x2
16014,段積セット 受電盤 広角 VCB12.5KA 電動引出,段積,受電盤,広角,,12.5KA,電動引出,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;71021x1;73220x1;73000x6;43014x1;46000x1;44030x1;44130x1;44011?x2;44104?x2
16114,段積セット 受電盤 普通 VCB12.5KA 電動引出,段積,受電盤,普通,,12.5KA,電動引出,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;71021x1;73220x1;73000x6;43014x1;46000x1;44030x1;44130x1;44011?x2;44104?x2
